date,cost_of_sales,selling_price,net_profit,project_name,project_category
2000-01-03,3061.46,4131.15,1069.69,Proj8,Category3
2000-01-04,2865.7,3901.69,1035.99,Proj1,Category1
2000-01-05,2861.66,3877.54,1015.88,Proj6,Category2
2000-01-06,2813.53,3727.13,913.6,Proj8,Category3
2000-01-07,2843.72,3882.62,1038.9,Proj4,Category2
2000-01-10,5717.682,4859.604,873.18,Proj5,Category2
2000-01-11,2892.7,3921.19,1028.49,Proj1,Category1
2000-01-12,2854.1,3850.02,995.92,Proj3,Category1
2000-01-13,3001.53,3957.21,955.68,Proj1,Category1
2000-01-14,2949.97,4064.27,1114.3,Proj7,Category3
2000-01-18,3033.09,4130.81,1097.72,Proj8,Category3
2000-01-19,3127.0,4151.29,1024.29,Proj2,Category1
2000-01-20,3144.46,4189.51,1045.05,Proj3,Category1
2000-01-21,3046.72,4235.4,1188.68,Proj1,Category1
2000-01-24,5643.09,4915.295999999999,961.03,Proj5,Category2
2000-01-25,3151.11,4167.41,1016.3,Proj2,Category1
2000-01-26,3088.7,4069.91,981.21,Proj2,Category1
2000-01-27,2954.41,4039.56,1085.15,Proj7,Category3
2000-01-28,3106.98,3887.07,780.09,Proj3,Category1
2000-01-31,7197.675,6698.594999999999,1061.28,Proj9,Category3
2000-02-01,2987.46,4051.98,1064.52,Proj6,Category2
2000-02-02,3061.48,4073.96,1012.48,Proj1,Category1
2000-02-03,3227.85,4210.98,983.13,Proj4,Category2
2000-02-04,3261.11,4244.14,983.03,Proj4,Category2
2000-02-07,8312.1,7347.009000000001,996.93,Proj9,Category3
2000-02-08,3232.8,4427.5,1194.7,Proj1,Category1
2000-02-09,3322.0,4363.24,1041.24,Proj8,Category3
2000-02-10,3460.38,4485.63,1025.25,Proj1,Category1
2000-02-11,3394.9,4395.45,1000.55,Proj8,Category3
2000-02-14,3179.48,4418.55,1239.07,Proj8,Category3
2000-02-15,3198.21,4420.77,1222.56,Proj6,Category2
2000-02-16,5870.952,5313.179999999999,1166.01,Proj5,Category2
2000-02-17,3462.96,4548.92,1085.96,Proj1,Category1
2000-02-18,3352.69,4411.74,1059.05,Proj1,Category1
2000-02-22,3440.54,4382.12,941.58,Proj2,Category1
2000-02-23,3446.89,4550.33,1103.44,Proj6,Category2
2000-02-24,3407.64,4617.65,1210.01,Proj1,Category1
2000-02-25,3474.38,4590.5,1116.12,Proj6,Category2
2000-02-28,3584.64,4577.85,993.21,Proj2,Category1
2000-02-29,3454.28,4696.69,1242.41,Proj1,Category1
2000-03-01,3801.07,4784.08,983.01,Proj3,Category1
2000-03-02,3503.78,4754.51,1250.73,Proj2,Category1
2000-03-03,3748.38,4914.79,1166.41,Proj3,Category1
2000-03-06,3771.85,4904.85,1133.0,Proj7,Category3
2000-03-07,3586.52,4847.84,1261.32,Proj7,Category3
2000-03-08,9116.65,8325.342,1250.6,Proj9,Category3
2000-03-09,9526.6,8579.661999999998,1236.22,Proj9,Category3
2000-03-10,3598.91,5048.62,1449.71,Proj7,Category3
2000-03-13,3872.77,4907.24,1034.47,Proj3,Category1
2000-03-14,3535.69,4706.63,1170.94,Proj1,Category1
2000-03-15,3477.67,4582.62,1104.95,Proj1,Category1
2000-03-16,3515.85,4717.39,1201.54,Proj4,Category2
2000-03-17,6340.842000000001,5757.756,1275.44,Proj5,Category2
2000-03-20,3512.18,4610.0,1097.82,Proj3,Category1
2000-03-21,3454.35,4711.68,1257.33,Proj4,Category2
2000-03-22,3554.33,4864.75,1310.42,Proj8,Category3
2000-03-23,3680.62,4940.61,1259.99,Proj7,Category3
2000-03-24,3842.63,4963.03,1120.4,Proj2,Category1
2000-03-27,3797.05,4958.56,1161.51,Proj3,Category1
2000-03-28,3604.64,4833.89,1229.25,Proj8,Category3
2000-03-29,3771.69,4644.67,872.98,Proj4,Category2
2000-03-30,3375.65,4457.89,1082.24,Proj1,Category1
2000-03-31,3450.2,4572.83,1122.63,Proj3,Category1
2000-04-03,3164.68,4223.68,1059.0,Proj8,Category3
2000-04-04,3088.32,4148.89,1060.57,Proj8,Category3
2000-04-05,3201.33,4169.22,967.89,Proj6,Category2
2000-04-06,3097.56,4267.56,1170.0,Proj2,Category1
2000-04-07,3359.66,4446.45,1086.79,Proj3,Category1
2000-04-10,3197.15,4188.2,991.05,Proj1,Category1
2000-04-11,3007.42,4055.9,1048.48,Proj8,Category3
2000-04-12,2834.01,3769.63,935.62,Proj4,Category2
2000-04-13,2726.04,3676.78,950.74,Proj3,Category1
2000-04-14,2424.14,3321.29,897.15,Proj8,Category3
2000-04-17,2612.04,3539.16,927.12,Proj8,Category3
2000-04-18,3014.12,3793.57,779.45,Proj4,Category2
2000-04-19,2869.47,3706.41,836.94,Proj6,Category2
2000-04-20,2840.65,3643.88,803.23,Proj6,Category2
2000-04-24,2508.39,3482.48,974.08,Proj8,Category3
2000-04-25,4833.108,4453.476,1026.17,Proj5,Category2
2000-04-26,2709.39,3630.09,920.7,Proj7,Category3
2000-04-27,2813.74,3774.03,960.29,Proj6,Category2
2000-04-28,2897.8,3860.66,962.86,Proj1,Category1
2000-05-01,2900.34,3958.08,1057.74,Proj2,Category1
2000-05-02,4982.76,4542.54,1017.25,Proj5,Category2
2000-05-03,2786.45,3707.31,920.86,Proj3,Category1
2000-05-04,2884.58,3720.24,835.66,Proj2,Category1
2000-05-05,2869.44,3816.82,947.38,Proj6,Category2
2000-05-08,5177.322,4403.256,793.09,Proj5,Category2
2000-05-09,2737.17,3585.01,847.84,Proj1,Category1
2000-05-10,2409.76,3384.73,974.97,Proj2,Category1
2000-05-11,4744.98,4199.496,863.48,Proj5,Category2
2000-05-12,2515.59,3529.06,1013.47,Proj3,Category1
2000-05-15,4819.59,4329.18,930.1,Proj5,Category2
2000-05-16,2777.23,3717.57,940.34,Proj8,Category3
2000-05-17,2620.57,3644.96,1024.39,Proj7,Category3
2000-05-18,2384.2,3538.71,1154.51,Proj2,Category1
2000-05-19,6372.35,5763.68,841.46,Proj9,Category3
2000-05-22,2590.45,3364.21,773.76,Proj8,Category3
2000-05-23,5978.099999999999,5379.735000000001,773.31,Proj9,Category3
2000-05-24,2588.78,3270.61,681.83,Proj4,Category2
2000-05-25,2551.56,3205.35,653.79,Proj8,Category3
2000-05-26,5680.05,5448.687,933.09,Proj9,Category3
2000-05-30,7194.9,5881.116,581.52,Proj9,Category3
2000-05-31,2592.9,3400.91,808.01,Proj8,Category3
2000-06-01,2756.66,3582.5,825.84,Proj6,Category2
2000-06-02,2969.44,3813.38,843.94,Proj2,Category1
2000-06-05,2915.76,3821.76,906.0,Proj7,Category3
2000-06-06,2966.63,3756.37,789.74,Proj3,Category1
2000-06-07,2820.19,3839.26,1019.07,Proj3,Category1
2000-06-08,7260.525,6503.451999999999,921.35,Proj9,Category3
2000-06-09,2811.29,3874.84,1063.55,Proj1,Category1
2000-06-12,2836.41,3767.91,931.5,Proj3,Category1
2000-06-13,6692.925,6546.802,1173.89,Proj9,Category3
2000-06-14,5013.414,4556.892,1012.18,Proj5,Category2
2000-06-15,2813.38,3845.74,1032.36,Proj2,Category1
2000-06-16,2982.07,3860.56,878.49,Proj3,Category1
2000-06-19,2970.34,3989.83,1019.49,Proj8,Category3
2000-06-20,5583.186,4816.032,911.6,Proj5,Category2
2000-06-21,3082.77,4064.01,981.24,Proj3,Category1
2000-06-22,3062.14,3936.84,874.7,Proj1,Category1
2000-06-23,2906.88,3845.34,938.46,Proj2,Category1
2000-06-26,2817.1,3912.12,1095.02,Proj4,Category2
2000-06-27,2967.16,3858.96,891.8,Proj7,Category3
2000-06-28,2896.74,3940.34,1043.6,Proj2,Category1
2000-06-29,2776.55,3877.23,1100.68,Proj2,Category1
2000-06-30,5542.038,4759.332,887.2,Proj5,Category2
2000-07-03,2983.52,3991.93,1008.41,Proj2,Category1
2000-07-05,2784.89,3863.1,1078.21,Proj4,Category2
2000-07-06,6788.025,6732.969,1245.36,Proj9,Category3
2000-07-07,7747.95,6839.44,924.02,Proj9,Category3
2000-07-10,2855.48,3980.29,1124.81,Proj8,Category3
2000-07-11,7487.5,6725.914,961.42,Proj9,Category3
2000-07-12,3099.16,4099.59,1000.43,Proj6,Category2
2000-07-13,3111.3,4174.86,1063.56,Proj6,Category2
2000-07-14,3009.2,4246.18,1236.98,Proj6,Category2
2000-07-17,3160.27,4274.67,1114.4,Proj2,Category1
2000-07-18,3182.67,4177.17,994.5,Proj3,Category1
2000-07-19,2843.23,4055.63,1212.4,Proj4,Category2
2000-07-20,3124.45,4184.56,1060.11,Proj4,Category2
2000-07-21,3224.09,4094.45,870.36,Proj1,Category1
2000-07-24,5479.326,4777.884,937.5,Proj5,Category2
2000-07-25,5494.482,4835.484,977.08,Proj5,Category2
2000-07-26,3006.4,3987.72,981.32,Proj6,Category2
2000-07-27,2959.61,3842.23,882.62,Proj1,Category1
2000-07-28,4969.242,4395.599999999999,902.31,Proj5,Category2
2000-07-31,7116.025,6403.883,920.58,Proj9,Category3
2000-08-01,2704.75,3685.52,980.77,Proj4,Category2
2000-08-02,2697.29,3658.46,961.17,Proj6,Category2
2000-08-03,5094.396,4511.856,929.66,Proj5,Category2
2000-08-04,2881.57,3787.36,905.79,Proj8,Category3
2000-08-07,3078.66,3862.99,784.33,Proj3,Category1
2000-08-08,2841.68,3848.55,1006.87,Proj3,Category1
2000-08-09,5023.134,4624.2,1062.87,Proj5,Category2
2000-08-10,2968.0,3759.99,791.99,Proj3,Category1
2000-08-11,2672.68,3789.47,1116.79,Proj1,Category1
2000-08-14,2872.65,3849.69,977.04,Proj8,Category3
2000-08-15,7214.375,6547.821999999999,965.91,Proj9,Category3
2000-08-16,2666.78,3861.2,1194.42,Proj7,Category3
2000-08-17,3105.03,3940.87,835.84,Proj2,Category1
2000-08-18,5283.558,4716.408,995.03,Proj5,Category2
2000-08-21,3043.26,3953.15,909.89,Proj8,Category3
2000-08-22,3074.78,3958.21,883.43,Proj2,Category1
2000-08-23,5523.156,4813.212,942.59,Proj5,Category2
2000-08-24,3073.31,4053.28,979.97,Proj2,Category1
2000-08-25,5751.126,4851.215999999999,847.61,Proj5,Category2
2000-08-28,5519.592000000001,4884.708,1004.15,Proj5,Category2
2000-08-29,3023.89,4082.17,1058.28,Proj6,Category2
2000-08-30,2942.32,4103.81,1161.49,Proj2,Category1
2000-08-31,3228.96,4206.35,977.39,Proj1,Category1
2000-09-01,2964.68,4234.33,1269.65,Proj2,Category1
2000-09-05,3061.78,4143.18,1081.4,Proj6,Category2
2000-09-06,7270.325000000001,6822.678,1105.21,Proj9,Category3
2000-09-07,3018.02,4098.35,1080.33,Proj4,Category2
2000-09-08,3158.75,3978.41,819.66,Proj1,Category1
2000-09-11,5428.295999999999,4675.62,880.63,Proj5,Category2
2000-09-12,2822.0,3849.51,1027.51,Proj6,Category2
2000-09-13,5412.402,4672.668,887.0,Proj5,Category2
2000-09-14,3056.14,3913.86,857.72,Proj4,Category2
2000-09-15,7373.450000000001,6519.891,885.85,Proj9,Category3
2000-09-18,2705.8,3726.52,1020.72,Proj3,Category1
2000-09-19,2824.18,3865.64,1041.46,Proj4,Category2
2000-09-20,2998.55,3897.44,898.89,Proj7,Category3
2000-09-21,2779.08,3828.87,1049.79,Proj4,Category2
2000-09-22,2926.34,3803.76,877.42,Proj4,Category2
2000-09-25,2762.74,3741.22,978.48,Proj6,Category2
2000-09-26,5035.77,4426.92,891.45,Proj5,Category2
2000-09-27,5225.436,4387.56,753.28,Proj5,Category2
2000-09-28,2918.78,3778.32,859.54,Proj2,Category1
2000-09-29,2630.52,3672.82,1042.3,Proj2,Category1
2000-10-02,2660.55,3568.9,908.35,Proj6,Category2
2000-10-03,2662.89,3455.83,792.94,Proj1,Category1
