date,cost_of_sales,selling_price,net_profit,project_category,project_name
2000-01-03,3150.37,4131.15,980.78,Category4,Proj7
2000-01-04,2986.91,3901.69,914.78,Category5,Proj3
2000-01-05,2921.29,3877.54,956.25,Category5,Proj9
2000-01-06,2750.88,3727.13,976.25,Category6,Proj6
2000-01-07,2991.98,3882.62,890.64,Category5,Proj5
2000-01-10,3173.53,4049.67,876.14,Category6,Proj8
2000-01-11,2921.86,3921.19,999.33,Category3,Proj8
2000-01-12,2912.54,3850.02,937.48,Category5,Proj4
2000-01-13,3052.27,3957.21,904.94,Category6,Proj3
2000-01-14,3118.08,4064.27,946.19,Category2,Proj3
2000-01-18,3227.49,4130.81,903.32,Category6,Proj5
2000-01-19,3186.31,4151.29,964.98,Category1,Proj10
2000-01-20,3114.54,4189.51,1074.97,Category6,Proj7
2000-01-21,3208.21,4235.4,1027.19,Category5,Proj7
2000-01-24,2919.24,4096.08,1176.84,Category3,Proj5
2000-01-25,3161.26,4167.41,1006.15,Category4,Proj5
2000-01-26,3153.32,4069.91,916.59,Category3,Proj3
2000-01-27,3059.67,4039.56,979.89,Category2,Proj8
2000-01-28,2904.29,3887.07,982.78,Category2,Proj6
2000-01-31,2766.68,3940.35,1173.67,Category3,Proj2
2000-02-01,2927.81,4051.98,1124.17,Category5,Proj9
2000-02-02,3024.71,4073.96,1049.25,Category6,Proj6
2000-02-03,3075.97,4210.98,1135.01,Category4,Proj7
2000-02-04,3168.2,4244.14,1075.94,Category3,Proj5
2000-02-07,3246.15,4321.77,1075.62,Category4,Proj9
2000-02-08,3232.82,4427.5,1194.68,Category6,Proj1
2000-02-09,3137.09,4363.24,1226.15,Category4,Proj6
2000-02-10,3377.76,4485.63,1107.87,Category4,Proj5
2000-02-11,3182.12,4395.45,1213.33,Category1,Proj8
2000-02-14,3161.68,4418.55,1256.87,Category4,Proj3
2000-02-15,3267.38,4420.77,1153.39,Category1,Proj7
2000-02-16,3447.02,4427.65,980.63,Category4,Proj9
2000-02-17,3412.42,4548.92,1136.5,Category3,Proj7
2000-02-18,3349.85,4411.74,1061.89,Category6,Proj2
2000-02-22,3340.94,4382.12,1041.18,Category4,Proj10
2000-02-23,3563.48,4550.33,986.85,Category6,Proj1
