date,cost_of_sales,selling_price,net_profit,project_name,project_category
2000-01-03,2940.24,4131.15,1190.91,Proj4,Category2
2000-01-04,7214.674999999999,3901.69,1015.82,Proj9,Category3
2000-01-05,5173.398,3877.54,1003.43,Proj5,Category2
2000-01-06,6996.599999999999,3727.13,928.49,Proj9,Category3
2000-01-07,7339.325,3882.62,946.89,Proj9,Category3
2000-01-10,5250.816,4049.67,1132.55,Proj5,Category2
2000-01-11,3157.47,3921.19,763.72,Proj3,Category1
2000-01-12,2916.43,3850.02,933.59,Proj2,Category1
2000-01-13,3049.03,3957.21,908.18,Proj8,Category3
2000-01-14,2907.53,4064.27,1156.74,Proj3,Category1
2000-01-18,3129.35,4130.81,1001.46,Proj3,Category1
2000-01-19,7998.200000000001,4151.29,952.01,Proj9,Category3
2000-01-20,3155.0,4189.51,1034.51,Proj7,Category3
2000-01-21,3026.71,4235.4,1208.69,Proj1,Category1
2000-01-24,5688.8640000000005,4096.08,935.6,Proj5,Category2
2000-01-25,3059.09,4167.41,1108.32,Proj7,Category3
2000-01-26,7222.325,4069.91,1180.98,Proj9,Category3
2000-01-27,3066.0,4039.56,973.56,Proj1,Category1
2000-01-28,2941.3,3887.07,945.77,Proj1,Category1
2000-01-31,2862.46,3940.35,1077.89,Proj1,Category1
2000-02-01,3099.73,4051.98,952.25,Proj1,Category1
2000-02-02,5331.51,4073.96,1112.01,Proj5,Category2
2000-02-03,3337.11,4210.98,873.87,Proj3,Category1
2000-02-04,3052.27,4244.14,1191.87,Proj8,Category3
2000-02-07,3276.76,4321.77,1045.01,Proj4,Category2
2000-02-08,3501.78,4427.5,925.72,Proj6,Category2
2000-02-09,3214.74,4363.24,1148.5,Proj3,Category1
2000-02-10,3399.76,4485.63,1085.87,Proj7,Category3
2000-02-11,3331.19,4395.45,1064.26,Proj1,Category1
2000-02-14,8017.7,4418.55,1211.47,Proj9,Category3
2000-02-15,3329.11,4420.77,1091.66,Proj1,Category1
2000-02-16,8475.9,4427.65,1037.29,Proj9,Category3
2000-02-17,3340.75,4548.92,1208.17,Proj7,Category3
2000-02-18,3479.7,4411.74,932.04,Proj7,Category3
2000-02-22,3301.02,4382.12,1081.1,Proj7,Category3
2000-02-23,3331.12,4550.33,1219.21,Proj6,Category2
2000-02-24,6392.358,4617.65,1066.34,Proj5,Category2
2000-02-25,8606.75,4590.5,1147.8,Proj9,Category3
2000-02-28,3261.29,4577.85,1316.56,Proj4,Category2
2000-02-29,6269.904,4696.69,1213.41,Proj5,Category2
2000-03-01,3664.57,4784.08,1119.51,Proj8,Category3
2000-03-02,9276.175,4754.51,1044.04,Proj9,Category3
2000-03-03,3944.24,4914.79,970.55,Proj4,Category2
2000-03-06,9140.175000000001,4904.85,1248.78,Proj9,Category3
2000-03-07,3497.07,4847.84,1350.77,Proj7,Category3
2000-03-08,3716.58,4897.26,1180.68,Proj3,Category1
2000-03-09,3719.74,5046.86,1327.12,Proj4,Category2
2000-03-10,9372.65,5048.62,1299.56,Proj9,Category3
2000-03-13,6520.320000000001,4907.24,1284.84,Proj5,Category2
2000-03-14,3553.33,4706.63,1153.3,Proj3,Category1
2000-03-15,8605.599999999999,4582.62,1140.38,Proj9,Category3
2000-03-16,3636.73,4717.39,1080.66,Proj4,Category2
2000-03-17,6230.268000000001,4798.13,1336.87,Proj5,Category2
2000-03-20,3573.67,4610.0,1036.33,Proj8,Category3
2000-03-21,3692.68,4711.68,1019.0,Proj4,Category2
2000-03-22,3612.6,4864.75,1252.15,Proj4,Category2
2000-03-23,6699.6900000000005,4940.61,1218.56,Proj5,Category2
2000-03-24,6703.272,4963.03,1238.99,Proj5,Category2
2000-03-27,3537.96,4958.56,1420.6,Proj1,Category1
2000-03-28,6258.888,4833.89,1356.73,Proj5,Category2
2000-03-29,3393.92,4644.67,1250.75,Proj6,Category2
2000-03-30,8449.9,4457.89,1077.94,Proj9,Category3
2000-03-31,5880.132,4572.83,1306.09,Proj5,Category2
2000-04-03,3161.68,4223.68,1062.0,Proj1,Category1
2000-04-04,3191.04,4148.89,957.85,Proj3,Category1
2000-04-05,3127.31,4169.22,1041.91,Proj4,Category2
2000-04-06,3104.98,4267.56,1162.58,Proj3,Category1
2000-04-07,3386.58,4446.45,1059.87,Proj2,Category1
2000-04-10,3112.37,4188.2,1075.83,Proj2,Category1
2000-04-11,2989.33,4055.9,1066.57,Proj2,Category1
2000-04-12,2782.58,3769.63,987.05,Proj8,Category3
2000-04-13,2677.89,3676.78,998.89,Proj6,Category2
2000-04-14,6057.325,3321.29,898.36,Proj9,Category3
2000-04-17,2774.5,3539.16,764.66,Proj6,Category2
2000-04-18,5304.0599999999995,3793.57,846.87,Proj5,Category2
2000-04-19,2652.91,3706.41,1053.5,Proj1,Category1
2000-04-20,2703.14,3643.88,940.74,Proj1,Category1
2000-04-24,2515.29,3482.48,967.19,Proj2,Category1
2000-04-25,2795.0,3711.23,916.23,Proj7,Category3
2000-04-26,2679.39,3630.09,950.7,Proj3,Category1
2000-04-27,2932.58,3774.03,841.45,Proj7,Category3
2000-04-28,3041.82,3860.66,818.84,Proj4,Category2
2000-05-01,7023.55,3958.08,1148.66,Proj9,Category3
2000-05-02,2787.87,3785.45,997.58,Proj2,Category1
2000-05-03,6919.075000000001,3707.31,939.68,Proj9,Category3
2000-05-04,7101.425,3720.24,879.67,Proj9,Category3
2000-05-05,2808.92,3816.82,1007.9,Proj4,Category2
2000-05-08,2789.48,3669.38,879.9,Proj3,Category1
2000-05-09,2796.89,3585.01,788.12,Proj2,Category1
2000-05-10,2410.92,3384.73,973.81,Proj6,Category2
2000-05-11,2675.26,3499.58,824.32,Proj6,Category2
