date,cost_of_sales,selling_price,net_profit,project_name
2000-01-03,3193.29,4131.15,937.86,Proj3
2000-01-04,7213.55,6632.873,1016.27,Proj9
2000-01-05,2776.41,3877.54,1101.13,Proj7
2000-01-06,2844.32,3727.13,882.81,Proj8
2000-01-07,7170.475,6600.454,1014.43,Proj9
2000-01-10,8271.05,6884.439,741.25,Proj9
2000-01-11,2926.38,3921.19,994.81,Proj3
2000-01-12,2883.98,3850.02,966.04,Proj7
2000-01-13,3044.44,3957.21,912.77,Proj2
2000-01-14,3075.81,4064.27,988.46,Proj6
2000-01-18,3265.05,4130.81,865.76,Proj6
2000-01-19,3139.01,4151.29,1012.28,Proj6
2000-01-20,3033.07,4189.51,1156.44,Proj8
2000-01-21,3150.03,4235.4,1085.37,Proj3
2000-01-24,3006.4,4096.08,1089.68,Proj4
2000-01-25,3111.76,4167.41,1055.65,Proj6
2000-01-26,2959.79,4069.91,1110.12,Proj7
2000-01-27,2980.79,4039.56,1058.77,Proj3
2000-01-28,7399.674999999999,6608.019,927.2,Proj9
2000-01-31,2939.94,3940.35,1000.41,Proj6
2000-02-01,5757.948,4862.376,853.12,Proj5
2000-02-02,3012.24,4073.96,1061.72,Proj3
2000-02-03,5648.904,5053.1759999999995,1072.7,Proj5
2000-02-04,3207.08,4244.14,1037.06,Proj3
2000-02-07,7642.474999999999,7347.009000000001,1264.78,Proj9
2000-02-08,3352.83,4427.5,1074.67,Proj8
2000-02-09,3340.3,4363.24,1022.94,Proj2
2000-02-10,3603.95,4485.63,881.68,Proj6
2000-02-11,6259.014,5274.54,918.23,Proj5
2000-02-14,3173.97,4418.55,1244.58,Proj3
2000-02-15,6215.490000000001,5304.924,967.72,Proj5
2000-02-16,3325.85,4427.65,1101.8,Proj1
2000-02-17,3451.18,4548.92,1097.74,Proj4
2000-02-18,3316.18,4411.74,1095.56,Proj7
2000-02-22,3417.54,4382.12,964.58,Proj1
2000-02-23,3454.01,4550.33,1096.32,Proj8
2000-02-24,3558.47,4617.65,1059.18,Proj7
2000-02-25,3369.97,4590.5,1220.53,Proj8
2000-02-28,8575.650000000001,7782.345,1147.59,Proj9
2000-02-29,3335.29,4696.69,1361.4,Proj4
2000-03-01,3692.13,4784.08,1091.95,Proj3
2000-03-02,3490.35,4754.51,1264.16,Proj2
2000-03-03,3755.75,4914.79,1159.04,Proj8
2000-03-06,3835.87,4904.85,1068.98,Proj2
2000-03-07,6496.884,5817.408,1238.46,Proj5
2000-03-08,3693.73,4897.26,1203.53,Proj1
2000-03-09,3602.8,5046.86,1444.06,Proj2
2000-03-10,3716.0,5048.62,1332.62,Proj2
2000-03-13,3820.1,4907.24,1087.14,Proj1
2000-03-14,8603.975,8001.271,1265.04,Proj9
2000-03-15,3419.04,4582.62,1163.58,Proj4
2000-03-16,3603.82,4717.39,1113.57,Proj4
2000-03-17,3686.87,4798.13,1111.26,Proj7
