date,daily_sales,cost_of_sales,net_profit,project_name
2000-01-03,4131.15,3098.3,1032.85,Proj1
2000-01-04,3901.69,2993.66,908.03,Proj7
2000-01-05,3877.54,2950.24,927.3,Proj3
2000-01-06,3727.13,2329.58,1397.55,Proj3
2000-01-07,3882.62,2890.44,992.18,Proj4
2000-01-10,4859.6,5426.65,1034.86,Proj5
2000-01-11,3921.19,2910.66,1010.53,Proj6
2000-01-12,4620.02,5621.33,727.06,Proj5
2000-01-13,3957.21,2727.2,1230.01,Proj2
2000-01-14,4064.27,2882.06,1182.21,Proj1
2000-01-18,4130.81,2932.58,1198.23,Proj7
2000-01-19,4151.29,3307.64,843.65,Proj2
2000-01-20,4189.51,2926.0,1263.51,Proj1
2000-01-21,4235.4,2886.84,1348.56,Proj7
2000-01-24,4096.08,3227.28,868.8,Proj2
2000-01-25,5000.89,5510.77,1105.87,Proj5
2000-01-26,6918.85,7629.08,1018.28,Proj9
2000-01-27,4039.56,2767.7,1271.86,Proj1
2000-01-28,3887.07,2834.44,1052.63,Proj3
2000-01-31,3940.35,2923.37,1016.98,Proj1
2000-02-01,4051.98,3212.55,839.43,Proj6
2000-02-02,4073.96,3072.3,1001.66,Proj2
2000-02-03,4210.98,2660.21,1550.77,Proj6
2000-02-04,7215.04,7939.36,1068.4,Proj9
2000-02-07,4321.77,3393.63,928.14,Proj8
2000-02-08,4427.5,3533.13,894.37,Proj1
2000-02-09,4363.24,3291.73,1071.51,Proj4
2000-02-10,4485.63,3212.55,1273.08,Proj6
2000-02-11,5274.54,6044.24,1037.54,Proj5
2000-02-14,4418.55,3291.0,1127.55,Proj2
2000-02-15,4420.77,3526.85,893.92,Proj3
2000-02-16,4427.65,3371.16,1056.49,Proj6
2000-02-17,4548.92,2860.84,1688.08,Proj2
2000-02-18,4411.74,3104.7,1307.04,Proj6
2000-02-22,4382.12,3477.63,904.49,Proj4
2000-02-23,4550.33,3153.81,1396.52,Proj4
2000-02-24,4617.65,3515.76,1101.88,Proj8
2000-02-25,4590.5,3323.32,1267.18,Proj6
2000-02-28,4577.85,2853.36,1724.49,Proj3
2000-02-29,4696.69,3084.55,1612.14,Proj7
2000-03-01,8132.94,8524.94,1374.1,Proj9
2000-03-02,4754.51,3771.61,982.9,Proj7
2000-03-03,4914.79,3691.26,1223.53,Proj7
2000-03-06,4904.85,3675.51,1229.34,Proj2
2000-03-07,8241.33,8611.28,1403.33,Proj9
2000-03-08,4897.26,3280.64,1616.62,Proj7
2000-03-09,5046.86,4013.41,1033.45,Proj2
2000-03-10,5048.62,3415.27,1633.35,Proj2
2000-03-13,4907.24,3760.33,1146.91,Proj1
2000-03-14,4706.63,3788.74,917.89,Proj8
2000-03-15,4582.62,3445.12,1137.5,Proj8
2000-03-16,5660.87,5898.12,1440.66,Proj5
2000-03-17,4798.13,3673.16,1124.97,Proj6
2000-03-20,4610.0,3763.7,846.3,Proj7
2000-03-21,8009.86,8979.44,1119.9,Proj9
2000-03-22,8270.07,9115.98,1218.36,Proj9
2000-03-23,4940.61,3503.19,1437.42,Proj3
2000-03-24,4963.03,3993.96,969.07,Proj6
2000-03-27,4958.56,3385.06,1573.5,Proj6
2000-03-28,8217.61,9264.29,1128.17,Proj9
2000-03-29,4644.67,3370.92,1273.75,Proj2
2000-03-30,4457.89,3612.51,845.38,Proj3
2000-03-31,4572.83,3193.64,1379.19,Proj2
2000-04-03,4223.68,3128.21,1095.47,Proj8
2000-04-04,4148.89,3434.7,714.19,Proj3
2000-04-05,4169.22,2920.36,1248.86,Proj2
2000-04-06,4267.56,3428.23,839.33,Proj1
2000-04-07,4446.45,3270.84,1175.61,Proj2
2000-04-10,4188.2,3090.68,1097.52,Proj8
2000-04-11,4867.08,5316.12,1102.5,Proj5
2000-04-12,3769.63,3002.6,767.03,Proj4
2000-04-13,3676.78,2676.35,1000.43,Proj8
2000-04-14,3321.29,2580.23,741.06,Proj1
2000-04-17,3539.16,2920.69,618.47,Proj8
2000-04-18,3793.57,2414.68,1378.89,Proj6
2000-04-19,3706.41,2803.09,903.32,Proj2
2000-04-20,6194.6,7067.1,817.04,Proj9
2000-04-24,3482.48,2665.62,816.86,Proj3
2000-04-25,3711.23,3126.97,584.25,Proj2
2000-04-26,3630.09,2636.14,993.95,Proj2
2000-04-27,3774.03,2950.24,823.79,Proj2
2000-04-28,3860.66,3172.8,687.86,Proj2
2000-05-01,3958.08,2914.09,1043.99,Proj6
2000-05-02,3785.45,2746.17,1039.28,Proj1
2000-05-03,3707.31,2864.5,842.81,Proj2
2000-05-04,6324.41,7010.57,916.01,Proj9
2000-05-05,3816.82,2909.0,907.82,Proj1
2000-05-08,4403.26,4738.15,1037.07,Proj5
2000-05-09,4302.01,5062.61,772.45,Proj5
2000-05-10,4061.68,4975.61,620.5,Proj5
2000-05-11,3499.58,2693.04,806.54,Proj8
2000-05-12,3529.06,2811.62,717.44,Proj1
2000-05-15,3607.65,2612.94,994.71,Proj2
2000-05-16,3717.57,2916.61,800.96,Proj7
2000-05-17,3644.96,2866.61,778.35,Proj4
2000-05-18,6015.81,6863.24,793.41,Proj9
2000-05-19,3390.4,2509.85,880.55,Proj2
2000-05-22,3364.21,2585.33,778.88,Proj2
2000-05-23,3164.55,2276.55,888.0,Proj8
2000-05-24,3270.61,2107.96,1162.65,Proj8
2000-05-25,3846.42,3621.14,1193.61,Proj5
2000-05-26,3205.11,2878.59,326.52,Proj8
2000-05-30,3459.48,2562.57,896.91,Proj2
2000-05-31,4081.09,4519.27,890.2,Proj5
2000-06-01,3582.5,2780.88,801.62,Proj1
2000-06-02,4576.06,4987.93,1042.31,Proj5
2000-06-05,3821.76,2995.09,826.67,Proj3
2000-06-06,4507.64,4441.07,1289.11,Proj5
2000-06-07,3839.26,2677.19,1162.07,Proj8
2000-06-08,3825.56,2920.22,905.34,Proj6
2000-06-09,6587.23,6873.84,1125.3,Proj9
2000-06-12,3767.91,2224.23,1543.68,Proj8
2000-06-13,4621.27,5304.77,903.97,Proj5
2000-06-14,3797.41,2923.41,874.0,Proj7
2000-06-15,3845.74,2984.48,861.26,Proj4
2000-06-16,3860.56,2824.15,1036.41,Proj6
2000-06-19,4787.8,5136.02,1136.49,Proj5
2000-06-20,4013.36,3201.08,812.28,Proj6
2000-06-21,4064.01,2659.47,1404.54,Proj1
2000-06-22,3936.84,2776.7,1160.14,Proj6
2000-06-23,6537.08,7479.1,853.7,Proj9
2000-06-26,3912.12,2539.33,1372.79,Proj8
2000-06-27,3858.96,2876.48,982.48,Proj4
2000-06-28,3940.34,2912.99,1027.35,Proj3
2000-06-29,6591.29,7520.98,868.84,Proj9
2000-06-30,4759.33,4623.16,1397.69,Proj5
2000-07-03,3991.93,3202.99,788.94,Proj3
2000-07-05,3863.1,3011.61,851.49,Proj7
2000-07-06,4752.68,5256.64,1040.22,Proj5
2000-07-07,4023.2,3303.59,719.61,Proj7
2000-07-10,4776.35,5106.14,1143.54,Proj5
2000-07-11,3956.42,3188.05,768.37,Proj7
2000-07-12,6969.3,7852.96,958.41,Proj9
2000-07-13,4174.86,2993.08,1181.78,Proj6
2000-07-14,4246.18,3421.25,824.93,Proj2
2000-07-17,4274.67,3281.05,993.62,Proj7
2000-07-18,4177.17,3137.29,1039.88,Proj1
2000-07-19,4055.63,3075.98,979.65,Proj1
2000-07-20,4184.56,2761.65,1422.91,Proj4
2000-07-21,4094.45,3357.6,736.85,Proj4
2000-07-24,3981.57,2897.41,1084.16,Proj4
2000-07-25,4029.57,3084.11,945.46,Proj6
2000-07-26,3987.72,2706.39,1281.33,Proj3
2000-07-27,3842.23,2810.83,1031.4,Proj6
2000-07-28,3663.0,3169.25,493.75,Proj8
2000-07-31,3766.99,3015.61,751.38,Proj8
2000-08-01,4422.62,5557.14,598.22,Proj5
2000-08-02,3658.46,2870.91,787.55,Proj1
2000-08-03,3759.88,2539.81,1220.07,Proj2
2000-08-04,3787.36,2379.18,1408.18,Proj6
2000-08-07,3862.99,3106.79,756.2,Proj4
2000-08-08,3848.55,2993.73,854.82,Proj6
2000-08-09,3853.5,2531.53,1321.97,Proj2
2000-08-10,3759.99,2957.14,802.85,Proj3
2000-08-11,3789.47,3235.4,554.07,Proj7
2000-08-14,3849.69,2987.35,862.33,Proj1
2000-08-15,4621.99,5334.32,888.15,Proj5
2000-08-16,4633.44,5359.49,883.7,Proj5
2000-08-17,3940.87,2779.1,1161.77,Proj2
2000-08-18,6681.58,7124.7,1080.46,Proj9
2000-08-21,3953.15,2872.6,1080.55,Proj1
2000-08-22,6728.96,7067.35,1131.27,Proj9
