date,cost_of_sales,selling_price,net_profit,project_name,project_category
2000-01-03,4028.661,4131.15,1032.18,Proj5,Category2
2000-01-04,2801.98,3901.69,1099.71,Proj3,Category1
2000-01-05,3492.346,3877.54,1191.12,Proj5,Category2
2000-01-06,2980.66,3727.13,746.47,Proj1,Category1
2000-01-07,2808.0,3882.62,1074.62,Proj1,Category1
2000-01-10,2957.87,4049.67,1091.8,Proj4,Category2
2000-01-11,2762.42,3921.19,1158.77,Proj3,Category1
2000-01-12,2757.51,3850.02,1092.51,Proj6,Category2
2000-01-13,3899.9869999999996,3957.21,957.22,Proj5,Category2
2000-01-14,3115.93,4064.27,948.34,Proj2,Category1
2000-01-18,3191.2,4130.81,939.61,Proj2,Category1
2000-01-19,3113.02,4151.29,1038.27,Proj4,Category2
2000-01-20,4773.450000000001,4189.51,1007.21,Proj9,Category3
2000-01-21,3268.68,4235.4,966.72,Proj8,Category3
2000-01-24,4116.645,4096.08,929.43,Proj5,Category2
2000-01-25,3189.29,4167.41,978.12,Proj7,Category3
2000-01-26,2975.62,4069.91,1094.29,Proj4,Category2
2000-01-27,3940.222,4039.56,1008.62,Proj5,Category2
2000-01-28,2877.57,3887.07,1009.5,Proj3,Category1
2000-01-31,2990.99,3940.35,949.36,Proj2,Category1
2000-02-01,3158.01,4051.98,893.97,Proj4,Category2
2000-02-02,3904.4849999999997,4073.96,1070.51,Proj5,Category2
2000-02-03,3316.97,4210.98,894.01,Proj2,Category1
2000-02-04,3031.29,4244.14,1212.85,Proj6,Category2
2000-02-07,4467.975,4321.77,1343.12,Proj9,Category3
2000-02-08,3409.06,4427.5,1018.44,Proj4,Category2
2000-02-09,3455.36,4363.24,907.88,Proj8,Category3
2000-02-10,3357.33,4485.63,1128.3,Proj7,Category3
2000-02-11,3256.71,4395.45,1138.74,Proj1,Category1
2000-02-14,3357.15,4418.55,1061.4,Proj8,Category3
2000-02-15,3442.32,4420.77,978.45,Proj2,Category1
2000-02-16,3378.56,4427.65,1049.09,Proj1,Category1
2000-02-17,4994.7300000000005,4548.92,1219.1,Proj9,Category3
2000-02-18,4506.528,4411.74,945.18,Proj5,Category2
2000-02-22,3441.67,4382.12,940.45,Proj3,Category1
2000-02-23,3455.99,4550.33,1094.35,Proj1,Category1
2000-02-24,3326.06,4617.65,1291.59,Proj4,Category2
2000-02-25,3331.15,4590.5,1259.35,Proj4,Category2
2000-02-28,3426.09,4577.85,1151.76,Proj3,Category1
2000-02-29,3684.35,4696.69,1012.34,Proj4,Category2
2000-03-01,3857.35,4784.08,926.73,Proj8,Category3
2000-03-02,3628.06,4754.51,1126.45,Proj7,Category3
2000-03-03,3703.72,4914.79,1211.07,Proj1,Category1
2000-03-06,4764.8640000000005,4904.85,1239.57,Proj5,Category2
2000-03-07,3727.4,4847.84,1120.44,Proj8,Category3
2000-03-08,3660.67,4897.26,1236.59,Proj1,Category1
2000-03-09,3882.77,5046.86,1164.09,Proj7,Category3
2000-03-10,3907.7,5048.62,1140.92,Proj4,Category2
2000-03-13,3751.87,4907.24,1155.37,Proj7,Category3
2000-03-14,3489.43,4706.63,1217.2,Proj6,Category2
2000-03-15,3516.56,4582.62,1066.06,Proj7,Category3
2000-03-16,3522.25,4717.39,1195.14,Proj3,Category1
2000-03-17,3634.16,4798.13,1163.97,Proj8,Category3
2000-03-20,3582.99,4610.0,1027.01,Proj1,Category1
2000-03-21,3619.35,4711.68,1092.33,Proj1,Category1
2000-03-22,3529.5,4864.75,1335.25,Proj8,Category3
2000-03-23,5415.96,4940.61,1329.97,Proj9,Category3
2000-03-24,5462.805,4963.03,1321.16,Proj9,Category3
2000-03-27,3678.07,4958.56,1280.49,Proj1,Category1
2000-03-28,3605.51,4833.89,1228.39,Proj6,Category2
2000-03-29,5224.785,4644.67,1161.48,Proj9,Category3
2000-03-30,3195.22,4457.89,1262.67,Proj4,Category2
2000-03-31,3525.88,4572.83,1046.95,Proj2,Category1
2000-04-03,3128.55,4223.68,1095.13,Proj7,Category3
2000-04-04,3077.75,4148.89,1071.14,Proj7,Category3
2000-04-05,2987.15,4169.22,1182.08,Proj6,Category2
2000-04-06,3304.59,4267.56,962.97,Proj1,Category1
2000-04-07,3272.17,4446.45,1174.28,Proj8,Category3
2000-04-10,4102.826,4188.2,1032.18,Proj5,Category2
2000-04-11,2973.58,4055.9,1082.32,Proj4,Category2
2000-04-12,2674.44,3769.63,1095.19,Proj1,Category1
2000-04-13,2814.5,3676.78,862.28,Proj6,Category2
2000-04-14,2431.27,3321.29,890.02,Proj8,Category3
2000-04-17,2741.14,3539.16,798.02,Proj1,Category1
2000-04-18,2783.77,3793.57,1009.8,Proj2,Category1
2000-04-19,2674.39,3706.41,1032.02,Proj1,Category1
2000-04-20,2819.12,3643.88,824.76,Proj6,Category2
2000-04-24,3442.426,3482.48,834.46,Proj5,Category2
2000-04-25,3469.3619999999996,3711.23,1042.49,Proj5,Category2
2000-04-26,2665.93,3630.09,964.16,Proj2,Category1
2000-04-27,2864.78,3774.03,909.25,Proj8,Category3
2000-04-28,2895.39,3860.66,965.27,Proj1,Category1
2000-05-01,2908.38,3958.08,1049.7,Proj8,Category3
2000-05-02,3560.882,3785.45,1046.31,Proj5,Category2
2000-05-03,2705.49,3707.31,1001.82,Proj6,Category2
2000-05-04,3521.687,3720.24,1011.25,Proj5,Category2
2000-05-05,2786.86,3816.82,1029.96,Proj8,Category3
2000-05-08,2753.08,3669.38,916.3,Proj1,Category1
2000-05-09,2645.82,3585.01,939.19,Proj7,Category3
2000-05-10,2681.4,3384.73,703.33,Proj7,Category3
2000-05-11,2507.52,3499.58,992.06,Proj4,Category2
2000-05-12,2614.92,3529.06,914.14,Proj7,Category3
2000-05-15,4092.87,3607.65,879.07,Proj9,Category3
2000-05-16,2906.46,3717.57,811.11,Proj6,Category2
2000-05-17,2555.39,3644.96,1089.57,Proj6,Category2
2000-05-18,2770.02,3538.71,768.69,Proj6,Category2
2000-05-19,2535.78,3390.4,854.62,Proj7,Category3
2000-05-22,2419.27,3364.21,944.94,Proj7,Category3
2000-05-23,2203.48,3164.55,961.07,Proj3,Category1
2000-05-24,2523.13,3270.61,747.48,Proj2,Category1
2000-05-25,2327.6,3205.35,877.75,Proj3,Category1
2000-05-26,2313.27,3205.11,891.84,Proj8,Category3
2000-05-30,3280.4849999999997,3459.48,936.03,Proj5,Category2
2000-05-31,2522.86,3400.91,878.05,Proj3,Category1
2000-06-01,2619.19,3582.5,963.31,Proj6,Category2
2000-06-02,4197.63,3813.38,1014.96,Proj9,Category3
2000-06-05,2692.88,3821.76,1128.88,Proj6,Category2
2000-06-06,2926.89,3756.37,829.48,Proj8,Category3
2000-06-07,2792.29,3839.26,1046.97,Proj4,Category2
2000-06-08,3004.54,3825.56,821.02,Proj7,Category3
2000-06-09,2978.95,3874.84,895.89,Proj3,Category1
2000-06-12,3671.1349999999998,3767.91,943.96,Proj5,Category2
2000-06-13,2827.64,3851.06,1023.42,Proj8,Category3
2000-06-14,2722.4,3797.41,1075.01,Proj4,Category2
2000-06-15,2829.69,3845.74,1016.05,Proj1,Category1
2000-06-16,2931.47,3860.56,929.09,Proj8,Category3
2000-06-19,2923.56,3989.83,1066.27,Proj8,Category3
2000-06-20,3096.69,4013.36,916.67,Proj8,Category3
