date,cost_of_sales,selling_price,net_profit,project_name,project_category,project_status
2000-01-03,3176.79,4131.15,954.36,Proj4,Category2,In - Progress
2000-01-04,2915.04,3901.69,986.65,Proj7,Category3,On - hold
2000-01-05,2781.24,3877.54,1096.3,Proj4,Category2,In - Progress
2000-01-06,2823.54,3727.13,903.59,Proj8,Category3,Completed
2000-01-07,2876.86,3882.62,1005.76,Proj3,Category1,In - Progress
2000-01-10,2815.45,4049.67,1234.22,Proj6,Category2,On - hold
2000-01-11,2982.89,3921.19,938.3,Proj3,Category1,In - Progress
2000-01-12,2944.96,3850.02,905.06,Proj8,Category3,Completed
2000-01-13,2842.09,3957.21,1115.12,Proj2,Category1,In - Progress
2000-01-14,3012.25,4064.27,1052.02,Proj8,Category3,Completed
2000-01-18,3293.78,4130.81,837.03,Proj6,Category2,On - hold
2000-01-19,3009.35,4151.29,1141.94,Proj4,Category2,In - Progress
2000-01-20,8163.75,7122.167,924.01,Proj9,Category3,Completed
2000-01-21,3099.59,4235.4,1135.81,Proj4,Category2,In - Progress
2000-01-24,3053.11,4096.08,1042.97,Proj3,Category1,In - Progress
2000-01-25,3144.23,4167.41,1023.18,Proj6,Category2,On - hold
2000-01-26,3015.87,4069.91,1054.04,Proj6,Category2,On - hold
2000-01-27,3092.8,4039.56,946.76,Proj6,Category2,On - hold
2000-01-28,2817.73,3887.07,1069.34,Proj2,Category1,In - Progress
2000-01-31,2976.43,3940.35,963.92,Proj7,Category3,On - hold
2000-02-01,5726.88,4862.376,870.38,Proj5,Category2,On - hold
2000-02-02,3071.8,4073.96,1002.16,Proj2,Category1,In - Progress
2000-02-03,3206.52,4210.98,1004.46,Proj6,Category2,On - hold
2000-02-04,3167.4,4244.14,1076.75,Proj8,Category3,Completed
2000-02-07,3262.68,4321.77,1059.09,Proj7,Category3,On - hold
2000-02-08,3458.73,4427.5,968.77,Proj3,Category1,In - Progress
2000-02-09,6137.604,5235.888,953.46,Proj5,Category2,On - hold
