date,daily_sales,cost_of_sales,net_profit,project_name
2000-01-03,4131.15,3168.94,962.21,Proj3
2000-01-04,4682.028,5410.764,895.71,Proj5
2000-01-05,3877.54,2798.15,1079.39,Proj2
2000-01-06,3727.13,2565.87,1161.26,Proj2
2000-01-07,3882.62,2863.27,1019.35,Proj3
2000-01-10,4049.67,3179.28,870.39,Proj1
2000-01-11,6666.023,7020.85,1112.85,Proj9
2000-01-12,3850.02,3019.69,830.33,Proj2
2000-01-13,3957.21,3285.99,671.22,Proj7
2000-01-14,4064.27,2971.68,1092.59,Proj2
2000-01-18,4130.81,3372.84,757.97,Proj3
2000-01-19,4151.29,3025.09,1126.2,Proj6
2000-01-20,7122.167,8463.45,804.13,Proj9
2000-01-21,4235.4,3084.1,1151.3,Proj3
2000-01-24,4096.08,2849.58,1246.5,Proj1
2000-01-25,4167.41,2661.17,1506.24,Proj1
2000-01-26,4883.892,5981.148,747.05,Proj5
2000-01-27,4039.56,3126.73,912.83,Proj6
2000-01-28,3887.07,2769.93,1117.14,Proj7
2000-01-31,3940.35,2938.46,1001.89,Proj4
2000-02-01,4051.98,2819.27,1232.71,Proj8
2000-02-02,4888.7519999999995,5534.442,999.27,Proj5
2000-02-03,4210.98,3273.6,937.38,Proj2
2000-02-04,5092.968,5574.834000000001,1147.01,Proj5
2000-02-07,4321.77,3299.57,1022.2,Proj7
2000-02-08,4427.5,3592.96,834.54,Proj6
2000-02-09,7417.508,7638.450000000001,1307.86,Proj9
2000-02-10,4485.63,3166.34,1319.29,Proj3
2000-02-11,4395.45,3336.55,1058.9,Proj8
2000-02-14,7511.535,8239.974999999999,1122.56,Proj9
2000-02-15,7515.309,7676.2,1350.29,Proj9
2000-02-16,4427.65,3877.88,549.77,Proj6
2000-02-17,4548.92,3516.85,1032.07,Proj7
2000-02-18,4411.74,3415.96,995.78,Proj6
2000-02-22,4382.12,3485.65,896.47,Proj3
2000-02-23,4550.33,3656.07,894.26,Proj2
2000-02-24,4617.65,3461.43,1156.22,Proj3
2000-02-25,4590.5,3393.33,1197.17,Proj7
2000-02-28,4577.85,3453.89,1123.96,Proj3
2000-02-29,4696.69,3694.06,1002.63,Proj6
2000-03-01,4784.08,3864.48,919.6,Proj6
2000-03-02,4754.51,3768.7,985.81,Proj2
2000-03-03,4914.79,3961.53,953.26,Proj7
2000-03-06,4904.85,3460.32,1444.53,Proj6
2000-03-07,4847.84,3788.57,1059.27,Proj1
2000-03-08,4897.26,3888.79,1008.47,Proj6
2000-03-09,5046.86,3860.16,1186.7,Proj2
2000-03-10,8582.654,9877.775,1097.51,Proj9
2000-03-13,4907.24,3959.31,947.93,Proj8
2000-03-14,4706.63,3735.19,971.44,Proj7
2000-03-15,4582.62,3444.32,1138.3,Proj7
2000-03-16,4717.39,3589.41,1127.98,Proj1
2000-03-17,4798.13,3649.98,1148.15,Proj3
2000-03-20,4610.0,3496.33,1113.67,Proj1
2000-03-21,4711.68,3686.55,1025.13,Proj2
2000-03-22,4864.75,3949.26,915.49,Proj2
2000-03-23,4940.61,3987.09,953.52,Proj8
2000-03-24,4963.03,3439.19,1523.84,Proj3
2000-03-27,4958.56,3596.86,1361.7,Proj3
2000-03-28,4833.89,3710.31,1123.58,Proj7
2000-03-29,5573.604,6822.27,854.52,Proj5
2000-03-30,4457.89,3497.57,960.32,Proj1
2000-03-31,5487.396,6555.51,930.88,Proj5
2000-04-03,4223.68,3301.52,922.16,Proj3
